,count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,sentiment
7141,22,0,0,0,0,1,0,positive
3273,18,0,0,0,0,0,0,positive
2592,20,0,0,0,3,0,0,positive
2297,17,0,0,0,0,0,0,positive
704,30,0,0,1,0,0,0,positive
5234,19,0,0,1,2,1,0,neutral
15822,14,1,0,5,3,0,0,positive
3234,23,1,0,1,0,0,0,neutral
14154,23,3,1,1,2,1,0,neutral
4270,26,1,0,0,0,1,0,positive
3477,17,0,0,0,1,0,0,neutral
11062,19,0,0,0,0,0,0,positive
14449,23,1,0,1,1,1,0,neutral
7541,24,0,0,0,0,1,0,negative
10107,26,0,1,0,0,0,0,neutral
13191,23,0,0,0,1,0,0,neutral
2083,24,1,0,0,0,0,0,positive
8344,22,0,0,0,0,0,0,negative
4915,12,1,1,0,3,0,0,positive
11243,24,1,0,0,0,0,0,negative
8662,21,1,0,0,1,0,0,neutral
12918,22,0,0,0,0,0,0,positive
7442,22,0,0,0,0,0,0,neutral
11096,27,1,0,1,1,0,0,negative
13105,12,0,0,0,8,0,0,positive
6027,25,3,0,0,2,0,0,positive
7512,16,1,0,0,1,0,0,neutral
3438,25,0,1,0,0,0,0,neutral
7324,19,0,0,0,0,1,0,positive
9390,27,0,0,2,0,0,0,positive
14108,24,0,0,2,0,0,0,negative
3054,19,1,0,2,1,0,0,positive
5242,19,0,0,0,1,0,0,neutral
15816,27,1,0,0,2,0,0,positive
4248,25,0,0,0,0,1,0,neutral
14771,22,0,0,0,0,0,0,positive
10155,23,3,0,0,0,0,0,neutral
15358,29,0,0,0,1,0,0,neutral
436,21,0,0,0,0,1,0,positive
6743,22,0,0,0,0,0,0,neutral
8724,28,1,0,1,3,0,0,positive
9736,18,0,1,0,1,0,0,negative
490,20,0,1,0,1,0,0,positive
5284,23,0,0,0,1,0,0,negative
10660,20,0,0,0,0,1,0,neutral
12783,22,0,0,0,1,0,0,negative
1978,21,0,1,3,4,0,0,positive
4681,19,0,1,0,0,0,0,neutral
6545,21,0,0,0,0,1,0,positive
11618,23,1,0,0,0,0,0,positive
8040,19,1,0,0,1,0,0,positive
10690,20,1,0,0,0,0,0,neutral
14238,13,0,1,0,1,0,0,neutral
8583,27,1,0,2,0,0,0,positive
1356,20,1,0,0,0,0,0,negative
813,11,0,0,0,0,0,0,neutral
6597,26,1,0,1,2,0,0,negative
2314,15,1,0,0,0,0,0,neutral
11020,24,0,0,0,0,0,0,positive
11259,16,0,0,0,0,0,0,neutral
6998,20,0,0,0,3,1,0,positive
3198,18,0,2,0,0,0,0,negative
4184,20,0,1,1,0,0,0,neutral
12322,20,2,1,2,1,0,0,neutral
11860,19,2,0,0,0,0,0,positive
14754,19,3,0,0,1,0,0,positive
5901,26,1,0,1,0,0,0,neutral
543,21,0,1,1,1,1,0,positive
3169,22,4,0,1,0,0,0,neutral
13507,22,0,0,0,1,0,0,positive
12713,31,0,1,1,2,0,0,positive
11156,26,0,0,2,0,0,0,neutral
1922,32,1,0,0,0,0,0,positive
8203,14,2,0,0,2,0,0,positive
9592,23,0,2,2,0,1,0,neutral
15137,24,0,0,1,1,1,0,negative
13256,25,0,0,0,0,1,0,neutral
2838,27,0,0,0,0,0,0,neutral
4610,23,0,0,0,0,0,0,negative
14657,25,0,0,0,0,0,0,positive
12199,19,2,0,0,0,0,0,neutral
10010,22,0,1,1,2,1,0,neutral
6162,26,1,0,0,0,1,0,positive
4401,14,0,0,0,0,0,0,neutral
10500,22,1,1,0,3,0,0,positive
13860,15,0,0,0,0,0,0,positive
14820,27,1,0,1,2,0,0,positive
4909,17,0,0,1,0,0,0,negative
3606,27,0,0,1,0,1,0,neutral
14791,12,0,1,1,0,0,0,positive
6433,25,0,0,0,1,1,0,positive
5963,13,0,0,0,1,0,0,positive
1820,27,0,1,0,1,0,0,negative
6119,23,2,0,0,1,0,0,negative
3805,25,0,0,1,0,1,0,neutral
10942,29,1,0,1,0,0,0,positive
5489,21,1,0,0,2,0,0,positive
4615,17,2,0,1,3,0,0,neutral
1716,15,0,2,1,0,0,0,neutral
7865,26,0,1,0,0,1,0,negative
4056,27,1,1,0,0,0,0,positive
15991,21,0,0,0,0,1,0,neutral
11408,21,1,0,1,3,0,0,positive
14116,24,0,0,2,0,0,0,neutral
874,27,1,0,0,0,0,0,neutral
9126,26,0,0,0,1,0,0,positive
15700,25,1,0,0,0,0,0,neutral
6659,15,3,0,0,1,0,0,positive
8943,32,0,1,3,0,0,0,neutral
9586,27,0,0,0,7,0,0,positive
8459,23,1,1,0,0,1,0,positive
11401,7,0,0,0,0,0,0,neutral
7439,20,1,1,0,1,0,0,positive
6369,28,1,0,0,1,0,0,positive
4601,20,1,0,0,0,0,0,neutral
1223,26,0,0,1,3,0,0,neutral
5214,9,0,0,0,0,0,0,negative
4617,19,3,0,0,0,0,0,neutral
542,14,0,0,0,0,1,0,neutral
13099,22,0,0,1,0,1,0,negative
11038,24,0,0,0,0,0,0,neutral
3564,18,0,0,0,4,0,0,positive
5920,23,1,0,1,0,0,0,positive
14508,13,2,0,1,0,0,0,negative
6958,27,1,1,0,1,0,0,positive
6685,26,0,0,1,0,0,0,neutral
12717,26,2,0,0,3,0,0,positive
15752,27,0,0,3,0,1,0,positive
9700,15,0,1,0,1,1,0,positive
3325,26,1,1,2,0,1,0,neutral
15041,17,1,0,0,0,0,0,positive
6345,25,1,0,0,3,0,0,positive
10203,13,0,0,0,0,0,0,neutral
15106,21,0,0,0,1,0,0,neutral
5646,24,0,0,1,1,0,0,positive
15300,26,0,0,1,2,1,0,neutral
8770,19,0,5,0,0,1,0,neutral
7546,27,0,0,0,0,0,0,neutral
13936,12,0,0,0,0,0,0,positive
412,26,0,0,0,0,0,0,neutral
13636,22,0,2,2,0,1,0,negative
10204,11,0,0,0,0,0,0,positive
10722,21,0,2,2,0,0,0,negative
15996,28,0,0,0,0,0,0,negative
9116,20,0,0,0,2,0,0,positive
8447,19,1,0,0,1,0,0,neutral
6775,17,1,0,0,0,0,0,neutral
5339,27,1,0,1,0,0,0,positive
7341,24,0,0,1,3,0,0,negative
11517,24,0,0,3,0,0,0,neutral
7603,23,0,1,0,0,0,0,negative
